WP_ID,Parent_ID,Name,SKU,Slug,Type,Description,Short_Description,Category,Category_Slug,Images,SEO_Title,SEO_Description,SEO_Keywords,OG_Title,OG_Description,Attributes,Price_Data,Stock_Status,Stock_Quantity,Manage_Stock,Weight,Dimensions,WP_URL,Bitrix_URL,Status,Featured,Date_Created,Date_Modified,Has_Variations,Variation_Attributes
44384,0,ETC 402-9.1 PCT,1600.1,etc-402-9-1-pct,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ETC 402-9.1 PCT</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>панельная розетка РСЕ СЕЕ 32А 5 - pol IP44,<br />
9 х панельный разъем PowerCon True1 Truecon (female)</td>
</tr>
<tr>
<td><strong>Индикация</strong></td>
<td>3 индикатора фаз, 3 индикатора на включение</td>
</tr>
<tr>
<td><strong>Защита</strong></td>
<td>авт.выкл. Legrand 6kA: 7х16А 1-pol</td>
</tr>
<tr>
<td><strong>Дополнительно</strong></td>
<td>защитное окно PCE 7E</td>
</tr>
</tbody>
</table>
","<p><strong>IN:</strong> 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol<br />
<strong>OUT:</strong> панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х PowerCon True1 Truecon (female)</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/44384_0.jpg"", ""alt"": ""ETC 402-9.1 PCT"", ""name"": ""ETC 402-9 PCT""}, {""path"": ""exported_products_final/images/44384_1.jpg"", ""alt"": ""ETC 402-9.1 PCT (1)"", ""name"": ""ETC 402-9 PCT (1)""}]",Туровый дистрибьютор питания %%title%% %%sep%% %%sitename%%,"Вход: 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol. Выход: панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х панельный разъем PowerCon True1 Truecon",,,,{},"{""regular_price"": ""69531"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/etc-402-9-1-pct/,/product/etc-402-9-1-pct/,publish,False,2025-01-29T14:25:27,2025-01-29T14:29:34,False,
44037,0,T 1-3PCT,431,t-1-3pct,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания T 1-3PCT</h2>
<table class=""eds-01"" style=""height: 140px;"" width=""600"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>разъем powerCON 16 A, тип-A Seetronic SAC3MPX(05)</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>разъем powerCON 16 A, тип-B Seetronic SAC3FPX(05) – 3шт</td>
</tr>
<tr>
<td><strong>Индикация</strong></td>
<td>нет</td>
</tr>
<tr>
<td><strong>Габариты корпуса</strong></td>
<td></td>
</tr>
</tbody>
</table>
<div class=""baton""></div>
","<p><strong>IN:</strong> панельный разъем powerCON 16 A, тип-A Seetronic SAC3MPX(05)<br />
<strong>OUT:</strong> панельный разъем 3хPowerCON 16 A, тип-B Seetronic SAC3FPX(05)</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/44037_0.jpg"", ""alt"": ""T 1-3PCT"", ""name"": ""T 1-3PCT""}, {""path"": ""exported_products_final/images/44037_1.jpg"", ""alt"": ""T 1-3PCT (1)"", ""name"": ""T 1-3PCT (1)""}]",Туровый дистрибьютор питания T 1-3PCT от компании EDS,"Вход: панельный разъем 1хpowerCON 16 A, тип-A Seetronic SAC3MPX(05); выход: панельный разъем 3хpowerCON 16 A, тип-B Seetronic SAC3FPX(05) ; индикация: нет;",,,,"{""Ввод"": {""options"": [""CEE 16A 3-pin""], ""visible"": false, ""variation"": false, ""position"": 3}, ""Дополнительно"": {""options"": [""Кабельный ввод""], ""visible"": false, ""variation"": false, ""position"": 4}}","{""regular_price"": ""8177"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/t-1-3pct/,/product/t-1-3pct/,publish,False,2024-09-26T16:58:01,2024-09-26T17:06:35,False,
43305,0,ETC 402-9 PCT,1600,etc-402-9-pct,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ETC 402-9 PCT</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>панельная розетка РСЕ СЕЕ 32А 5 - pol IP44,<br />
9 х панельный разъем PowerCon True1 Truecon (female)</td>
</tr>
<tr>
<td><strong>Индикация</strong></td>
<td>3 индикатора фаз, 3 индикатора на включение</td>
</tr>
<tr>
<td><strong>Защита</strong></td>
<td>авт.выкл. Legrand 6kA: 1х40А 3-pol; 3х32А 1-pol; 2х16А 1-pol</td>
</tr>
<tr>
<td><strong>Дополнительно</strong></td>
<td>защитное окно PCE</td>
</tr>
</tbody>
</table>
","<p><strong>IN:</strong> 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol<br />
<strong>OUT:</strong> панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х PowerCon True1 Truecon (female)</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/43305_0.jpg"", ""alt"": ""ETC 402-9.1 PCT"", ""name"": ""ETC 402-9 PCT""}, {""path"": ""exported_products_final/images/43305_1.jpg"", ""alt"": ""ETC 402-9.1 PCT (1)"", ""name"": ""ETC 402-9 PCT (1)""}]",Туровый дистрибьютор питания %%title%% %%sep%% %%sitename%%,"Вход: 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol. Выход: панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х панельный разъем PowerCon True1 Truecon",,,,{},"{""regular_price"": ""69531"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/etc-402-9-pct/,/product/etc-402-9-pct/,publish,False,2024-08-19T10:37:23,2024-08-19T10:51:09,False,
39283,0,ET 2-5 PCT,195.1,et-2-5-pct,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ET 2-5 PCT</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>панельный разъем Seetronic PowerCon True1 16A (male)</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>панельный разъем Seetronic PowerCon True1 16A (female)<br />
5хPCE Schuko 16A</td>
</tr>
</tbody>
</table>
","<p><strong>IN</strong>:  панельный разъем Seetronic PowerCon True1 16A (male)<br />
<strong>OUT</strong>: панельный разъем Seetronic PowerCon True1 16A (female); 5хPCE Schuko 16A</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/39283_0.jpg"", ""alt"": ""ET 2-5 PCT"", ""name"": ""ET 2-5 PCT""}, {""path"": ""exported_products_final/images/39283_1.jpg"", ""alt"": ""ET 2-5 PCT (1)"", ""name"": ""ET 2-5 PCT (1)""}]",Туровый дистрибьютор питания ET 2-5 PCT %%sep%% %%sitename%%,Вход: панельный разъем Seetronic PowerCon True1 16A (male)Выход: панельный разъем Seetronic PowerCon True1 16A (female)5хPCE Schuko 16A,,,,"{""Ввод"": {""options"": [""PowerCon 20A""], ""visible"": false, ""variation"": false, ""position"": 0}, ""Дополнительно"": {""options"": [""Проходная розетка""], ""visible"": false, ""variation"": false, ""position"": 1}}","{""regular_price"": ""12680"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/et-2-5-pct/,/product/et-2-5-pct/,publish,False,2023-10-26T12:24:26,2023-11-11T21:59:14,False,
38139,0,T 1-3PC,430,t-1-3pc,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания T 1-3PC</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>разъем PowerCon 20A/250В (входной синий)</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>разъем PowerCon 20A/250В – 3шт (выходной серый)</td>
</tr>
<tr>
<td><strong>Индикация</strong></td>
<td>нет</td>
</tr>
<tr>
<td><strong>Габариты корпуса</strong></td>
<td></td>
</tr>
</tbody>
</table>
<div class=""baton""><button class=""buton""> <i class=""fa fa-file-pdf-o"" aria-hidden=""true""></i> ПАСПОРТ УСТРОЙСТВА</button></div>
","<p><strong>IN:</strong> панельный разъем 1хPowerCon 20A/250В (male)<br />
<strong>OUT:</strong> панельный разъем 3хPowerCon 20A/250В (female)</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/38139_0.jpg"", ""alt"": ""T 1-3PC"", ""name"": ""T 1-3PC""}, {""path"": ""exported_products_final/images/38139_1.jpg"", ""alt"": ""T 1-3PC (1)"", ""name"": ""T 1-3PC (1)""}, {""path"": ""exported_products_final/images/38139_2.jpg"", ""alt"": ""T 1-3PC (2)"", ""name"": ""T 1-3PC (2)""}, {""path"": ""exported_products_final/images/38139_3.jpg"", ""alt"": ""T 1-3PC (3)"", ""name"": ""T 1-3PC (3)""}, {""path"": ""exported_products_final/images/38139_4.jpg"", ""alt"": ""T 1-3PC (4)"", ""name"": ""T 1-3PC (4)""}, {""path"": ""exported_products_final/images/38139_5.jpg"", ""alt"": ""T 1-3PC (5)"", ""name"": ""T 1-3PC (5)""}]",Туровый дистрибьютор питания T 1-3PC от компании EDS,Вход: панельный разъем 1PowerCon 20A/250В (male); выход: панельный разъем 3 PowerCon 20A/250В (female); индикация: нет;,,,,"{""Ввод"": {""options"": [""CEE 16A 3-pin""], ""visible"": false, ""variation"": false, ""position"": 3}, ""Дополнительно"": {""options"": [""Кабельный ввод""], ""visible"": false, ""variation"": false, ""position"": 4}}","{""regular_price"": ""8780"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/t-1-3pc/,/product/t-1-3pc/,publish,False,2023-05-12T11:36:13,2025-01-31T12:26:20,False,
35654,0,ET 102,197,et-102,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ET 102</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>вилка панельная РСЕ CEE 16А 3-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>розетка РСЕ СЕЕ 16А 3–pol — 1 шт; розетка РСЕ Schuko 16А — 2 шт</td>
</tr>
</tbody>
</table>
","<p>ET 102<br />
<strong>IN:</strong> CEE 16А 3-pol<br />
<strong>OUT:</strong> СЕЕ 16А 3-роI—1 шт; Schuko 16А — 2 шт.</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/35654_0.jpg"", ""alt"": ""Туровый дистрибьютор питания"", ""name"": ""ET 102""}]",Туровый дистрибьютор питания ET 102 - EDS,"Вход: вилка панельная РСЕ CEE 16А 3-pol; выход: розетка РСЕ СЕЕ 16А 3 – роI — 1 шт., розетка РСЕ Schuko 16А — 2 шт.",,,,"{""Ввод"": {""options"": [""CEE 16A 3-pin""], ""visible"": false, ""variation"": false, ""position"": 4}, ""Дополнительно"": {""options"": [""Кабельный ввод"", ""Проходная розетка""], ""visible"": false, ""variation"": false, ""position"": 5}}","{""regular_price"": ""10950"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/et-102/,/product/et-102/,publish,False,2022-09-05T17:23:53,2023-08-18T13:48:13,False,
35650,0,ET 104,196,et-104,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ET 104</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>вилка панельная РСЕ CEE 16А 3-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>розетка РСЕ СЕЕ 16А 3–pol — 1 шт; розетка РСЕ Schuko 16А — 4 шт</td>
</tr>
</tbody>
</table>
","<p>ET 104<br />
<strong>IN:</strong> CEE 16А 3-pol<br />
<strong>OUT:</strong> СЕЕ 16А 3-роI—1 шт; Schuko 16А — 4 шт.</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/35650_0.jpg"", ""alt"": ""Туровый дистрибьютор питания"", ""name"": ""ET 104""}, {""path"": ""exported_products_final/images/35650_1.jpg"", ""alt"": ""Туровый дистрибьютор питания"", ""name"": ""ET 104 (1)""}]",Туровый дистрибьютор питания ET 104 - EDS,"Вход: вилка панельная РСЕ CEE 16А 3-pol; выход: розетка РСЕ СЕЕ 16А 3 – роI — 1 шт., розетка РСЕ Schuko 16А — 4 шт.",,,,"{""Ввод"": {""options"": [""CEE 16A 3-pin""], ""visible"": false, ""variation"": false, ""position"": 4}, ""Дополнительно"": {""options"": [""Кабельный ввод"", ""Проходная розетка""], ""visible"": false, ""variation"": false, ""position"": 5}}","{""regular_price"": ""15950"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/et-104/,/product/et-104/,publish,False,2022-09-05T17:14:33,2024-10-10T11:16:35,False,
35603,0,T 120,198,t-120,simple,"<p><!-- wp:html --></p>
<h2 class=""sprod"">Туровый дистрибьютор питания T 120</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>вилка панельная РСЕ CEE 16А 3-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>розетка РСЕ СЕЕ 16А 3–pol — 2 шт</td>
</tr>
</tbody>
</table>
<p><!-- /wp:html --></p>
","<p><strong>Вход:</strong> вилка панельная РСЕ CEE 16А 3-pol.<br />
<strong>Выход:</strong> розетка РСЕ СЕЕ 16А 3–pol — 2 шт</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/35603_0.jpg"", ""alt"": ""Туровый дистрибьютор питания T 120"", ""name"": ""T 120""}, {""path"": ""exported_products_final/images/35603_1.jpg"", ""alt"": ""Туровый дистрибьютор питания T 120"", ""name"": ""T 120 (1)""}, {""path"": ""exported_products_final/images/35603_2.jpg"", ""alt"": ""ТуровТуровый дистрибьютор питания T 120ый дистрибьютор питания"", ""name"": ""T 120 (2)""}]",T 120,,,,,{},"{""regular_price"": """", ""sale_price"": """", ""price"": """", ""on_sale"": false}",instock,1.0,True,,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/t-120/,/product/t-120/,publish,False,2022-09-01T13:44:48,2024-04-24T23:01:17,False,
35127,0,ETC 402-9 PC,168,etc-402-9-pc,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ETC 402-9 PC</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>панельная розетка РСЕ СЕЕ 32А 5 - pol IP44,<br />
9 х панельный разъем PowerCon 20A/250В (female)</td>
</tr>
<tr>
<td><strong>Индикация</strong></td>
<td>3 индикатора фаз, 3 индикатора на включение</td>
</tr>
<tr>
<td><strong>Защита</strong></td>
<td>авт.выкл. Legrand 6kA: 1х40А 3-pol; 3х32А 1-pol; 2х16А 1-pol</td>
</tr>
<tr>
<td><strong>Дополнительно</strong></td>
<td>защитное окно PCE</td>
</tr>
</tbody>
</table>
","<p><strong>IN:</strong> 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol<br />
<strong>OUT:</strong> панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х панельный разъем PowerCon 20A/250В (female</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/35127_0.jpeg"", ""alt"": ""Туровый дистрибьютор питания ETC 402-9 PC"", ""name"": ""ETC 402-9 PC""}, {""path"": ""exported_products_final/images/35127_1.jpeg"", ""alt"": ""Туровый дистрибьютор питания ETC 402-9 PC"", ""name"": ""ETC 402-9 PC (1)""}]",Туровый дистрибьютор питания %%title%% %%sep%% %%sitename%%,"Вход: 1 метровый кабель H07RN-F 5G6 и вилка РСЕ CEE 32А 5-pol. Выход: панельная розетка РСЕ СЕЕ 32А 5-pol IP44, 9 х разъем PowerCon 20A/250В",,,,{},"{""regular_price"": ""69531"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",onbackorder,0.0,True,,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/etc-402-9-pc/,/product/etc-402-9-pc/,publish,False,2022-06-24T16:30:59,2024-08-01T13:35:54,False,
21071,0,ET 2-5 PC,195,et-2-5-pc,simple,"<h2 class=""sprod"">Туровый дистрибьютор питания ET 2-5 PC</h2>
<table class=""eds-01"">
<tbody>
<tr>
<td><strong>Вход</strong></td>
<td>панельный разъем Neutrik PowerCon 20A/250В (male)</td>
</tr>
<tr>
<td><strong>Выход</strong></td>
<td>панельный разъем Neutrik PowerCon 20A/250В (female)<br />
5хPCE Schuko 16A</td>
</tr>
</tbody>
</table>
","<p><strong>IN</strong>: панельный разъем Neutrik PowerCon 20A/250В (male)<br />
<strong>OUT</strong>: панельный разъем Neutrik PowerCon 20A/250В (female) 5хPCE Schuko 16A</p>
",Туровые дистрибьюторы,turovye,"[{""path"": ""exported_products_final/images/21071_0.jpg"", ""alt"": ""Туровый дистрибьютор ET 2-5 PC"", ""name"": ""ET 2-5 PC""}, {""path"": ""exported_products_final/images/21071_1.jpg"", ""alt"": ""Туровый дистрибьютор ET 2-5 PC"", ""name"": ""ET 2-5 PC (1)""}, {""path"": ""exported_products_final/images/21071_2.jpg"", ""alt"": ""Туровый дистрибьютор ET 2-5 PC"", ""name"": ""ET 2-5 PC (2)""}]",Туровый дистрибьютор питания ET 2-5 PC %%sep%% %%sitename%%,Вход: панельный разъем Neutrik PowerCon 20A/250В (male)Выход: панельный разъем Neutrik PowerCon 20A/250В (female)5хPCE Schuko 16A,,,,"{""Ввод"": {""options"": [""PowerCon 20A""], ""visible"": false, ""variation"": false, ""position"": 0}, ""Дополнительно"": {""options"": [""Проходная розетка""], ""visible"": false, ""variation"": false, ""position"": 1}}","{""regular_price"": ""15050"", ""sale_price"": """", ""price"": """", ""on_sale"": false}",instock,17.0,True,0,"{""length"": """", ""width"": """", ""height"": """"}",https://edsy.ru/product/et-2-5-pc/,/product/et-2-5-pc/,publish,False,2021-05-14T00:00:00,2024-01-26T17:14:05,False,
